question_id,condition,placement_seed,answer_correct,total_evidence_documents,naturally_present,missing,injected,all_evidence_present,mean_normalized_evidence_position,first_evidence_turn,last_evidence_turn,original_search_turns,termination_reason,error
293,distributed_evidence_replay,43.0,False,4,0,4,4,True,0.5,0.0,3.0,4,final,
298,original_replay,,False,10,0,10,0,False,,,,4,final,
298,distributed_evidence_replay,43.0,False,10,0,10,10,True,0.5,0.0,3.0,4,final,
301,original_replay,,False,5,0,5,0,False,,,,6,final,
301,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.5599999999999999,0.0,6.0,6,final,
304,original_replay,,True,7,1,6,0,False,1.2857142857142858,9.0,9.0,8,final,
304,distributed_evidence_replay,43.0,True,7,1,6,6,True,0.6666666666666666,0.0,9.0,8,final,
392,original_replay,,True,10,7,3,0,False,0.5,0.0,2.0,3,final,
392,distributed_evidence_replay,43.0,True,10,7,3,3,True,0.5,0.0,2.0,3,final,
411,original_replay,,False,10,2,8,0,False,0.6666666666666666,0.0,4.0,4,final,
411,distributed_evidence_replay,43.0,False,10,2,8,8,True,0.5833333333333333,0.0,4.0,4,final,
413,original_replay,,True,8,2,6,0,False,0.7222222222222223,1.0,7.0,7,final,
413,distributed_evidence_replay,43.0,True,8,2,6,6,True,0.5238095238095238,0.0,7.0,7,final,
414,original_replay,,False,3,0,3,0,False,,,,2,final,
414,distributed_evidence_replay,43.0,True,3,0,3,3,True,0.5,0.0,1.0,2,final,
416,original_replay,,False,6,3,3,0,False,0.6,0.0,7.0,6,final,
416,distributed_evidence_replay,43.0,False,6,3,3,3,True,0.6,0.0,7.0,6,final,
421,original_replay,,True,8,2,6,0,False,1.0,1.0,1.0,2,final,
421,distributed_evidence_replay,43.0,True,8,2,6,6,True,0.5,0.0,1.0,2,final,
426,original_replay,,False,5,0,5,0,False,,,,6,final,
426,distributed_evidence_replay,43.0,True,5,0,5,5,True,0.52,0.0,6.0,6,final,
432,original_replay,,True,11,1,10,0,False,0.5,3.0,3.0,7,final,
432,distributed_evidence_replay,43.0,True,11,1,10,10,True,0.619047619047619,0.0,8.0,7,final,
436,original_replay,,False,7,1,6,0,False,1.25,5.0,5.0,5,final,
436,distributed_evidence_replay,43.0,True,7,1,6,6,True,0.55,0.0,5.0,5,final,
445,original_replay,,False,7,0,7,0,False,,,,4,final,
445,distributed_evidence_replay,43.0,False,7,0,7,7,True,0.5,0.0,3.0,4,final,
449,original_replay,,False,10,2,8,0,False,0.25,1.0,1.0,5,final,
449,distributed_evidence_replay,43.0,True,10,2,8,8,True,0.65,0.0,6.0,5,final,
46,original_replay,,True,6,2,4,0,False,1.0,0.0,2.0,2,final,
46,distributed_evidence_replay,43.0,True,6,2,4,4,True,1.0,0.0,2.0,2,final,
468,original_replay,,True,3,1,2,0,False,1.2,6.0,6.0,6,final,
468,distributed_evidence_replay,43.0,True,3,1,2,2,True,0.6,0.0,6.0,6,final,
494,distributed_evidence_replay,43.0,True,6,0,6,6,True,0.47222222222222227,0.0,7.0,7,final,
500,distributed_evidence_replay,43.0,True,5,1,4,4,True,0.5,0.0,1.0,2,final,
527,distributed_evidence_replay,43.0,False,7,1,6,6,True,0.6,0.0,6.0,6,final,
532,distributed_evidence_replay,43.0,True,4,0,4,4,True,0.75,0.0,7.0,6,final,
542,distributed_evidence_replay,43.0,False,6,0,6,6,True,0.5666666666666667,0.0,6.0,6,final,
560,distributed_evidence_replay,43.0,True,7,0,7,7,True,0.5666666666666667,0.0,6.0,6,final,
577,distributed_evidence_replay,43.0,False,2,2,0,0,True,1.0,1.0,1.0,2,final,
580,distributed_evidence_replay,43.0,True,5,0,5,5,True,0.6,0.0,7.0,7,final,
584,distributed_evidence_replay,43.0,False,4,0,4,4,True,0.8333333333333334,0.0,5.0,4,final,
59,distributed_evidence_replay,43.0,False,5,2,3,3,True,0.7333333333333333,0.0,8.0,7,final,
592,distributed_evidence_replay,43.0,False,8,0,8,8,True,0.55,0.0,5.0,5,final,
595,distributed_evidence_replay,43.0,True,5,1,4,4,True,0.5,0.0,5.0,5,final,
620,distributed_evidence_replay,43.0,True,5,1,4,4,True,0.0,0.0,0.0,1,final,
624,distributed_evidence_replay,43.0,False,4,3,1,1,True,0.5,0.0,2.0,3,final,
645,distributed_evidence_replay,43.0,False,5,2,3,3,True,0.6,0.0,6.0,6,final,
673,distributed_evidence_replay,43.0,True,4,0,4,4,True,0.8333333333333334,1.0,8.0,7,final,
696,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.6333333333333333,0.0,8.0,7,final,
70,distributed_evidence_replay,43.0,False,11,1,10,10,True,0.5416666666666666,0.0,9.0,9,final,
702,distributed_evidence_replay,43.0,True,10,0,10,10,True,0.625,0.0,9.0,8,final,
707,distributed_evidence_replay,43.0,True,8,2,6,6,True,0.5666666666666667,0.0,6.0,6,final,
715,distributed_evidence_replay,43.0,False,2,0,2,2,True,0.5714285714285714,0.0,8.0,8,final,
717,distributed_evidence_replay,43.0,True,10,3,7,7,True,0.5333333333333333,0.0,6.0,6,final,
725,distributed_evidence_replay,43.0,True,8,0,8,8,True,0.7000000000000001,0.0,7.0,6,final,
739,distributed_evidence_replay,43.0,False,7,5,2,2,True,0.8125,0.0,6.0,5,final,
741,distributed_evidence_replay,43.0,False,3,0,3,3,True,0.4666666666666666,0.0,5.0,6,final,
753,distributed_evidence_replay,43.0,True,9,0,9,9,True,0.55,0.0,5.0,5,final,
759,distributed_evidence_replay,43.0,True,8,0,8,8,True,0.7,0.0,5.0,5,final,
768,distributed_evidence_replay,43.0,True,8,0,8,8,True,0.5476190476190477,0.0,7.0,7,final,
770,distributed_evidence_replay,43.0,False,9,0,9,9,True,0.5,0.0,3.0,4,final,
774,distributed_evidence_replay,43.0,True,7,0,7,7,True,0.6,0.0,5.0,5,final,
775,distributed_evidence_replay,43.0,False,6,0,6,6,True,0.6904761904761906,0.0,9.0,8,final,
793,distributed_evidence_replay,43.0,False,3,2,1,1,True,0.6666666666666667,0.0,7.0,7,final,
794,distributed_evidence_replay,43.0,False,2,1,1,1,True,0.8,1.0,8.0,6,final,
796,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.8333333333333334,0.0,3.0,3,final,
816,distributed_evidence_replay,43.0,True,9,2,7,7,True,0.75,0.0,5.0,4,final,
819,distributed_evidence_replay,43.0,True,5,1,4,4,True,0.7,0.0,7.0,6,final,
823,distributed_evidence_replay,43.0,True,5,2,3,3,True,1.0,0.0,2.0,2,final,
85,distributed_evidence_replay,43.0,False,10,2,8,8,True,0.5952380952380952,0.0,7.0,7,final,
875,distributed_evidence_replay,43.0,True,9,0,9,9,True,0.55,0.0,5.0,5,final,
90,distributed_evidence_replay,43.0,True,11,0,11,11,True,0.6333333333333333,0.0,7.0,6,final,
926,distributed_evidence_replay,43.0,True,4,0,4,4,True,0.6071428571428571,1.0,8.0,8,final,
928,distributed_evidence_replay,43.0,True,4,0,4,4,True,0.5714285714285714,1.0,7.0,8,final,
932,distributed_evidence_replay,43.0,True,8,1,7,7,True,0.5,0.0,1.0,2,final,
951,distributed_evidence_replay,43.0,True,4,0,4,4,True,0.5,0.0,3.0,4,final,
952,distributed_evidence_replay,43.0,False,3,0,3,3,True,0.6666666666666666,0.0,8.0,7,final,
966,distributed_evidence_replay,43.0,True,7,0,7,7,True,0.55,0.0,5.0,5,final,
